time(UTC),temp_air,relative_humidity,ghi,dni,dhi,IR(h),wind_speed,wind_direction,pressure
2023-01-01 00:00:00,-3.44,86.91,0.0,0.0,0.0,264.45,2.4,323.0,99868.0
2023-01-01 01:00:00,-3.03,88.18,0.0,0.0,0.0,270.59,2.3,328.0,99887.0
2023-01-01 02:00:00,-2.62,89.45,0.0,0.0,0.0,276.73,2.2,331.0,99887.0
2023-01-01 03:00:00,-2.2,90.72,0.0,0.0,0.0,282.87,2.1,332.0,99838.0
2023-01-01 04:00:00,-1.79,91.98,0.0,0.0,0.0,289.01,1.99,332.0,99838.0
2023-01-01 05:00:00,-1.38,93.25,0.0,0.0,0.0,295.15,1.89,330.0,99829.0
2023-01-01 06:00:00,-0.97,94.52,0.0,0.0,0.0,301.29,1.79,328.0,99848.0
2023-01-01 07:00:00,-0.55,95.78,0.0,0.0,0.0,307.43,1.69,348.0,99838.0
2023-01-01 08:00:00,-0.96,93.2,104.0,285.96,60.0,290.6,1.45,348.0,99877.0
2023-01-01 09:00:00,-0.07,85.95,164.0,227.53,109.0,280.4,1.86,352.0,99887.0
2023-01-01 10:00:00,0.56,77.1,197.0,208.23,136.0,271.8,2.83,1.0,99868.0
2023-01-01 11:00:00,1.15,68.25,170.0,92.1,142.0,263.2,2.83,10.0,99838.0
2023-01-01 12:00:00,1.34,66.4,246.0,616.31,77.0,271.2,2.55,12.0,99809.0
2023-01-01 13:00:00,1.35,67.3,93.0,43.79,84.0,282.6,2.07,12.0,99799.0
2023-01-01 14:00:00,0.86,72.05,45.0,68.17,38.0,280.6,1.59,11.0,99809.0
2023-01-01 15:00:00,0.16,76.75,0.0,0.0,0.0,285.0,1.59,8.0,99829.0
2023-01-01 16:00:00,-0.84,82.5,0.0,0.0,0.0,269.4,1.79,4.0,99848.0
2023-01-01 17:00:00,-1.17,84.6,0.0,0.0,0.0,281.0,1.79,4.0,99858.0
2023-01-01 18:00:00,-1.9,88.0,0.0,0.0,0.0,260.0,1.86,2.0,99877.0
2023-01-01 19:00:00,-2.69,89.45,0.0,0.0,0.0,243.2,2.0,19.0,99897.0
2023-01-01 20:00:00,-3.17,89.55,0.0,0.0,0.0,234.0,2.14,19.0,99897.0
2023-01-01 21:00:00,-3.06,89.45,0.0,0.0,0.0,247.4,2.14,16.0,99906.0
2023-01-01 22:00:00,-3.06,89.8,0.0,0.0,0.0,250.0,2.21,9.0,99897.0
2023-01-01 23:00:00,-2.92,89.1,0.0,0.0,0.0,250.4,2.34,7.0,99887.0
2023-01-02 00:00:00,-2.97,89.45,0.0,0.0,0.0,256.2,2.34,7.0,99858.0
2023-01-02 01:00:00,-2.88,88.1,0.0,0.0,0.0,268.4,2.34,8.0,99887.0
2023-01-02 02:00:00,-2.8,87.45,0.0,0.0,0.0,271.4,2.34,11.0,99897.0
2023-01-02 03:00:00,-2.93,87.6,0.0,0.0,0.0,262.4,2.34,14.0,99897.0
2023-01-02 04:00:00,-3.21,88.15,0.0,0.0,0.0,253.2,2.41,22.0,99916.0
2023-01-02 05:00:00,-3.33,87.95,0.0,0.0,0.0,262.2,2.48,29.0,99916.0
2023-01-02 06:00:00,-3.42,87.05,0.0,0.0,0.0,265.6,2.62,36.0,99936.0
2023-01-02 07:00:00,-3.29,85.85,0.0,0.0,0.0,267.0,3.1,42.0,99926.0
2023-01-02 08:00:00,-3.2,83.2,114.0,388.56,54.0,273.8,3.24,44.0,99936.0
2023-01-02 09:00:00,-2.74,79.55,143.0,131.91,111.0,267.4,3.24,47.0,99945.0
2023-01-02 10:00:00,-2.27,76.7,121.0,17.0,116.0,274.2,3.03,51.0,99906.0
2023-01-02 11:00:00,-1.84,74.65,101.0,3.27,100.0,272.2,2.76,53.0,99858.0
2023-01-02 12:00:00,-1.44,73.1,82.0,0.0,82.0,268.6,2.69,54.0,99790.0
2023-01-02 13:00:00,-1.3,73.0,67.0,4.82,66.0,270.4,2.62,55.0,99751.0
2023-01-02 14:00:00,-1.56,74.75,28.0,0.0,28.0,274.0,2.62,55.0,99760.0
2023-01-02 15:00:00,-2.14,78.05,0.0,0.0,0.0,272.4,2.55,55.0,99770.0
2023-01-02 16:00:00,-2.76,80.7,0.0,0.0,0.0,272.0,2.83,55.0,99760.0
2023-01-02 17:00:00,-3.25,81.35,0.0,0.0,0.0,276.0,3.1,54.0,99751.0
2023-01-02 18:00:00,-3.67,81.15,0.0,0.0,0.0,275.6,3.17,53.0,99721.0
2023-01-02 19:00:00,-3.77,81.85,0.0,0.0,0.0,282.0,3.38,59.0,99702.0
2023-01-02 20:00:00,-4.36,82.25,0.0,0.0,0.0,252.8,3.24,59.0,99692.0
2023-01-02 21:00:00,-4.58,81.05,0.0,0.0,0.0,259.2,3.17,59.0,99663.0
2023-01-02 22:00:00,-4.59,79.65,0.0,0.0,0.0,265.4,3.1,59.0,99624.0
2023-01-02 23:00:00,-4.62,78.9,0.0,0.0,0.0,262.2,2.62,60.0,99595.0
2023-01-03 00:00:00,-4.69,78.9,0.0,0.0,0.0,255.2,2.48,64.0,99556.0
2023-01-03 01:00:00,-4.3,77.3,0.0,0.0,0.0,282.2,2.48,73.0,99527.0
2023-01-03 02:00:00,-3.81,77.4,0.0,0.0,0.0,291.8,2.48,81.0,99478.0
2023-01-03 03:00:00,-3.36,80.75,0.0,0.0,0.0,288.0,2.76,95.0,99459.0
2023-01-03 04:00:00,-3.01,85.55,0.0,0.0,0.0,287.6,3.31,113.0,99439.0
2023-01-03 05:00:00,-2.89,86.5,0.0,0.0,0.0,290.0,3.52,124.0,99478.0
2023-01-03 06:00:00,-3.06,84.6,0.0,0.0,0.0,281.2,3.79,129.0,99527.0
2023-01-03 07:00:00,-2.84,84.3,0.0,0.0,0.0,291.8,4.41,131.0,99575.0
2023-01-03 08:00:00,-2.78,80.7,57.0,19.34,54.0,297.4,4.69,131.0,99614.0
2023-01-03 09:00:00,-2.63,78.25,63.0,0.0,63.0,292.6,4.76,132.0,99644.0
2023-01-03 10:00:00,-2.37,76.65,72.0,0.0,72.0,293.4,4.76,132.0,99644.0
2023-01-03 11:00:00,-2.28,76.0,103.0,3.26,102.0,287.8,4.48,130.0,99605.0
2023-01-03 12:00:00,-1.79,73.85,91.0,3.6,90.0,289.0,5.1,133.0,99566.0
2023-01-03 13:00:00,-1.59,72.15,156.0,352.94,82.0,281.8,5.17,134.0,99546.0
2023-01-03 14:00:00,-1.77,71.9,53.0,112.0,41.0,272.0,4.69,131.0,99546.0
2023-01-03 15:00:00,-2.24,72.25,0.0,0.0,0.0,263.0,4.69,131.0,99566.0
2023-01-03 16:00:00,-2.87,73.0,0.0,0.0,0.0,246.4,4.62,131.0,99595.0
2023-01-03 17:00:00,-3.51,74.35,0.0,0.0,0.0,229.2,4.62,132.0,99653.0
2023-01-03 18:00:00,-4.04,75.9,0.0,0.0,0.0,221.4,4.76,134.0,99683.0
2023-01-03 19:00:00,-4.89,80.7,0.0,0.0,0.0,228.0,4.69,131.0,99683.0
2023-01-03 20:00:00,-5.01,79.8,0.0,0.0,0.0,239.2,4.76,131.0,99702.0
2023-01-03 21:00:00,-5.32,79.85,0.0,0.0,0.0,221.4,4.76,131.0,99712.0
2023-01-03 22:00:00,-5.49,79.6,0.0,0.0,0.0,226.0,4.9,131.0,99673.0
2023-01-03 23:00:00,-5.54,79.15,0.0,0.0,0.0,232.6,5.03,131.0,99663.0
2023-01-04 00:00:00,-5.61,79.0,0.0,0.0,0.0,230.6,5.03,131.0,99673.0
2023-01-04 01:00:00,-5.81,78.4,0.0,0.0,0.0,235.6,5.1,132.0,99702.0
2023-01-04 02:00:00,-5.88,78.4,0.0,0.0,0.0,242.4,5.17,134.0,99731.0
2023-01-04 03:00:00,-6.03,79.25,0.0,0.0,0.0,246.4,5.24,136.0,99731.0
2023-01-04 04:00:00,-6.13,79.85,0.0,0.0,0.0,250.4,5.24,137.0,99731.0
2023-01-04 05:00:00,-6.11,81.05,0.0,0.0,0.0,260.0,5.24,138.0,99770.0
2023-01-04 06:00:00,-5.95,81.65,0.0,0.0,0.0,267.8,5.17,138.0,99790.0
2023-01-04 07:00:00,-5.77,81.15,0.0,0.0,0.0,278.6,5.52,140.0,99809.0
2023-01-04 08:00:00,-5.34,80.55,48.0,6.41,47.0,273.8,5.38,141.0,99858.0
2023-01-04 09:00:00,-4.77,78.75,66.0,0.0,66.0,272.8,5.86,143.0,99868.0
2023-01-04 10:00:00,-4.13,75.85,53.0,0.0,53.0,274.2,5.79,145.0,99906.0
2023-01-04 11:00:00,-3.71,73.5,53.0,0.0,53.0,264.8,5.72,146.0,99877.0
2023-01-04 12:00:00,-3.21,70.25,58.0,0.0,58.0,258.2,5.79,146.0,99829.0
2023-01-04 13:00:00,-3.11,68.95,79.0,14.16,76.0,254.8,5.52,147.0,99848.0
2023-01-04 14:00:00,-3.36,69.45,42.0,36.52,38.0,246.4,4.83,144.0,99858.0
2023-01-04 15:00:00,-3.93,71.25,0.0,0.0,0.0,243.4,5.1,145.0,99887.0
2023-01-04 16:00:00,-4.35,71.8,0.0,0.0,0.0,245.2,5.24,146.0,99916.0
2023-01-04 17:00:00,-4.73,72.35,0.0,0.0,0.0,239.6,5.24,148.0,99945.0
2023-01-04 18:00:00,-5.18,73.65,0.0,0.0,0.0,229.6,5.03,149.0,100023.0
